wind_speed_kts,wind_direction_deg,humidity_%,pressure_hPa,fog_density,visibility_km,hours_until_clear
15.0,233.0,71.5,1004.3,0.61,4.6,4.7
38.5,87.0,61.1,1018.4,0.3,3.1,7.7
29.8,74.0,78.0,998.3,0.52,7.5,3.3
21.6,261.0,55.4,1007.4,0.44,5.3,4.1
11.3,45.0,32.8,1001.8,0.87,2.0,9.4
3.9,129.0,47.1,1021.7,0.12,8.8,2.1
33.4,200.0,95.2,1013.3,0.73,1.7,10.8
25.1,352.0,78.9,1025.6,0.16,9.7,1.0
17.5,312.0,60.2,1000.4,0.82,3.0,8.9
8.8,180.0,41.0,1009.7,0.11,9.8,0.9
22.1,233.0,69.8,1002.4,0.68,4.2,5.6
10.7,77.0,83.4,1030.5,0.95,2.5,7.9
34.4,145.0,45.7,1005.9,0.66,3.3,7.4
6.2,295.0,72.2,1017.2,0.25,8.4,1.3
12.8,55.0,29.9,990.3,0.9,2.7,9.6
39.7,140.0,92.3,995.1,0.48,6.4,3.4
5.3,315.0,33.8,1006.0,0.61,4.6,4.7
18.6,221.0,56.8,1020.2,0.79,1.5,10.1
36.3,115.0,88.9,1010.0,0.74,2.1,8.5
7.9,360.0,44.4,1003.7,0.05,9.1,0.5
24.4,187.0,66.7,1022.5,0.19,8.8,1.2
31.1,341.0,51.4,1007.1,0.43,5.3,4.1
14.0,158.0,70.9,995.8,0.37,4.9,4.4
26.8,97.0,80.3,1012.3,0.72,3.4,7.0
4.1,27.0,91.8,1033.2,0.85,0.9,11.8
20.5,303.0,63.5,1019.7,0.2,8.6,1.3
9.2,177.0,35.0,1001.1,0.53,6.6,3.0
28.7,55.0,77.7,1008.6,0.62,3.0,8.7
13.6,208.0,42.1,1011.5,0.18,9.4,1.1
16.2,122.0,67.2,1029.4,0.11,9.9,0.2
22.9,261.0,54.2,1018.1,0.73,1.8,10.4
32.5,80.0,89.0,1002.2,0.56,4.5,4.9
2.7,147.0,48.5,990.7,0.36,5.9,3.6
19.4,34.0,64.4,1031.4,0.65,3.7,6.8
35.9,297.0,75.1,1017.9,0.16,9.8,0.8
11.9,166.0,26.6,1003.0,0.44,5.0,4.3
27.4,222.0,92.5,1009.4,0.88,2.3,9.8
8.5,300.0,39.9,1018.3,0.07,9.6,0.6
30.0,18.0,68.0,1006.9,0.31,7.3,2.7
23.8,330.0,58.3,1026.6,0.52,6.3,3.0
19.6,142.0,74.5,1021.1,0.63,3.8,6.4
7.1,280.0,59.3,1005.7,0.22,8.5,1.4
34.8,101.0,83.2,1029.0,0.41,4.8,4.2
15.9,200.0,62.0,1002.3,0.77,1.9,9.9
29.5,40.0,48.3,1015.1,0.66,2.6,8.0
38.9,310.0,70.1,1008.8,0.52,3.3,7.1
